model,order,subject,p_c,BIC
hmm,1,6,5.467564796701263,-187.38113289588932
hmm,1,7,5.536421951617102,-157.93663978199612
hmm,1,8,-5.006922987801207,-192.21676538372336
hmm,1,9,-1.6697727277965357,-188.9666395803371
hmm,1,10,-0.1780697074521066,-173.6279082005089
hmm,1,11,-2.8187283549490005,-217.5632121987958
hmm,1,13,0.2405030108486731,-142.09362884556333
hmm,1,14,5.616709011534238,-195.9590984785622
hmm,1,15,-1.115188945755198,-166.93243104873147
hmm,1,16,0.913532891094697,-188.09421370351473
hmm,1,17,0.5372473569260239,-187.69295296707557
hmm,1,18,1.1848413707710876,-197.91469012038638
hmm,1,19,-48.29926143924404,-181.16140015057215
hmm,1,20,2.147674652901565,-212.0026426918449
hmm,1,21,-2.3462237061568336,-116.88944931486247
hmm,1,22,-2.3904705945814713,-167.18021843830812
hmm,1,23,-2.7244789397893534,-223.83477053789042
hmm,1,24,3.5672447486633185,-182.30810247955458
hmm,1,25,6.031573235340432,-196.43629347395904
hmm,1,26,8.0332655887276,-184.00132336573017
hmm,1,27,-11.242177853692203,-190.44660425932463
hmm,1,28,-2.179795455136639,-171.25801952965386
hmm,1,29,-1.857412951206118,-233.91795665197594
hmm,1,30,-3.4344263585610864,-176.40211571165185
hmm,1,31,0.5117918641497672,-214.06535452260377
hmm,1,32,1.8416422239127608,-222.83943679264272
hmm,1,33,6.133635402676736,-140.5814644765243
hmm,1,36,-0.7427215506900667,-154.41296794542984
hmm,1,37,6.854826819033914,-173.2074072708459
hmm,1,38,-3.6892093750021098,-176.19042930930522
hmm,1,39,0.01792656458969967,-109.4713117419974
hmm,1,41,0.8053392570368364,-166.5587648552888
hmm,1,42,-2.5655934429256675,-151.21196303573313
hmm,1,43,2.5652713066591746,-163.25120220029868
hmm,1,44,-1.9706497121342337,-151.5600732239965
hmm_uncoupled,1,6,5.539995236230391,-187.496687201354
hmm_uncoupled,1,7,5.761298429805818,-158.05415036453437
hmm_uncoupled,1,8,-3.1205635744796485,-191.36937203754246
hmm_uncoupled,1,9,-1.8016100640870727,-188.2740591685864
hmm_uncoupled,1,10,-0.3764692144910248,-173.68894517937483
hmm_uncoupled,1,11,-3.1146479317760463,-217.90497495645724
hmm_uncoupled,1,13,13.214456891762156,-142.88824480649606
hmm_uncoupled,1,14,5.855458124641692,-196.0936817675061
hmm_uncoupled,1,15,-1.1957695730305085,-166.7914548337381
hmm_uncoupled,1,16,0.7951406889956496,-188.0937412623026
hmm_uncoupled,1,17,-7.591167396057295,-191.76171011587684
hmm_uncoupled,1,18,1.0490812445814235,-197.8798622731608
hmm_uncoupled,1,19,-5.412650147075324,-183.68117295196535
hmm_uncoupled,1,20,1.901959811647969,-212.00592099870997
hmm_uncoupled,1,21,6.513446572019186,-115.73397796918105
hmm_uncoupled,1,22,-2.5187020980547388,-166.8850405927303
hmm_uncoupled,1,23,-2.9095965590420882,-224.2644463867094
hmm_uncoupled,1,24,2.7385032001250496,-182.3108382655539
hmm_uncoupled,1,25,-2.201742877586198,-198.62957383421923
hmm_uncoupled,1,26,8.102689588270458,-184.12741336174855
hmm_uncoupled,1,27,-48.2748336660653,-185.3400034247267
hmm_uncoupled,1,28,-2.335789375807116,-171.27141902079032
hmm_uncoupled,1,29,-2.049731118154277,-234.3627908938236
hmm_uncoupled,1,30,-3.4692711588223957,-175.7001812054848
hmm_uncoupled,1,31,-0.4249748330288645,-214.07512675608868
hmm_uncoupled,1,32,1.1452210402416723,-222.8384091227233
hmm_uncoupled,1,33,6.622181961513656,-140.78212029904208
hmm_uncoupled,1,36,-3.5043590226121806,-154.7153491520892
hmm_uncoupled,1,37,5.246976037539367,-173.2619840711916
hmm_uncoupled,1,38,-4.09447208555535,-176.19839222282855
hmm_uncoupled,1,39,-0.28470518760587293,-109.46370675734505
hmm_uncoupled,1,41,0.7096323662251312,-166.53819539552555
hmm_uncoupled,1,42,-2.8275199992580546,-151.23539529307925
hmm_uncoupled,1,43,2.136729909038116,-163.24077400495835
hmm_uncoupled,1,44,-2.0715348576277526,-151.87281616699374
hmm,0,6,0.8491225707548902,-187.84771991757896
hmm,0,7,5.201628823728852,-157.99586806708936
hmm,0,8,-5.282098659373673,-189.02771706101788
hmm,0,9,-1.0702449905435432,-183.64028160576015
hmm,0,10,-0.6505783653531454,-173.83793496722154
hmm,0,11,-1.644367142470761,-213.16926239307685
hmm,0,13,-5.339184894671724,-153.91358384701957
hmm,0,14,-3.38416123137352,-199.03244752974612
hmm,0,15,-0.8015788121445694,-166.22443348173604
hmm,0,16,-2.9618929335609026,-189.28758702723735
hmm,0,17,-7.4190230707191915,-200.24716786924537
hmm,0,18,5.1499397532774305,-197.3601586874816
hmm,0,19,0.029895108506313828,-179.81949855731952
hmm,0,20,2.3307829967647287,-212.00121718785215
hmm,0,21,-4.752477326988023,-116.78968040485447
hmm,0,22,-1.8037987401698645,-166.87360855297075
hmm,0,23,-1.1420276473579334,-221.76369949704423
hmm,0,24,5.115048698009604,-182.4037979917276
hmm,0,25,4.252561785451287,-196.4823690401174
hmm,0,26,-7.465848395728958,-194.06902515096854
hmm,0,27,-6.408755522902761,-192.43341043399175
hmm,0,28,-2.0595732265550297,-173.43177478322593
hmm,0,29,-1.41043491246917,-234.0842425694218
hmm,0,30,-2.691587070709039,-168.1617051089623
hmm,0,31,0.3179658501937558,-214.0287761386581
hmm,0,32,0.9090924710304554,-222.90086523289548
hmm,0,33,5.616679891447307,-140.6705442154886
hmm,0,36,-2.4745060982058824,-154.90573260303478
hmm,0,37,-5.135474421784384,-179.05974500359767
hmm,0,38,-5.175439100110495,-176.40677959035068
hmm,0,39,0.6476143481598845,-109.33298557723315
hmm,0,41,2.4128712947618247,-166.37473369225913
hmm,0,42,-5.857073064825512,-152.27399991693298
hmm,0,43,7.779854212161124,-163.564647791987
hmm,0,44,-1.4732847704748095,-151.5981207133858
hmm_uncoupled,0,6,0.8264338786618424,-187.8478091110126
hmm_uncoupled,0,7,5.20215933305534,-157.99587192381148
hmm_uncoupled,0,8,-5.283366850980499,-189.02771493061513
hmm_uncoupled,0,9,-1.0691286856731266,-183.64027929074993
hmm_uncoupled,0,10,-0.6458129453622098,-173.83794332488583
hmm_uncoupled,0,11,-1.6442064947504311,-213.16926226011577
hmm_uncoupled,0,13,-5.339219772891328,-153.91358384283598
hmm_uncoupled,0,14,-8.732213240616884,-202.26979578592238
hmm_uncoupled,0,15,-0.8077584843901056,-166.2244604426739
hmm_uncoupled,0,16,-2.9580006155211973,-189.2876221257867
hmm_uncoupled,0,17,-7.420482670922945,-200.24717751972705
hmm_uncoupled,0,18,5.410876115615107,-197.3627536324598
hmm_uncoupled,0,19,0.268353527631932,-179.8190950255248
hmm_uncoupled,0,20,2.1122216540476426,-212.0009786263556
hmm_uncoupled,0,21,-4.7537799295816106,-116.78968163140975
hmm_uncoupled,0,22,-1.8018243413277755,-166.87360300266047
hmm_uncoupled,0,23,-1.1438337992584833,-221.76368860616216
hmm_uncoupled,0,24,11.063292812658078,-182.415911413191
hmm_uncoupled,0,25,10.450078419193652,-196.49366751096244
hmm_uncoupled,0,26,-36.56424427394176,-192.50995131776122
hmm_uncoupled,0,27,-9.171769368308198,-192.46865159576507
hmm_uncoupled,0,28,-2.056718357028649,-173.43178427911505
hmm_uncoupled,0,29,-1.4029170383133236,-234.08431162396226
