model,order,subject,p_c,win_size,BIC
fixed_decay,1,6,0.05033174017585407,7,-180.49467231803118
fixed_decay,1,7,0.05201212778772834,6,-153.38389302791902
fixed_decay,1,8,0.05021717186563373,6,-188.11365769349396
fixed_decay,1,9,0.05185167973324202,7,-181.84770938713658
fixed_decay,1,10,0.051148963686929255,7,-168.73204175049173
fixed_decay,1,11,0.05002192365351865,6,-212.38825867578572
fixed_decay,1,13,0.05016967324167453,7,-139.27824674885434
fixed_decay,1,14,0.050372375448662854,8,-189.95680662781422
fixed_decay,1,15,0.05172025107033573,6,-161.67649891706728
fixed_decay,1,16,0.05104639180730755,7,-185.00463501638978
fixed_decay,1,17,0.0513491392170467,7,-185.12067872358028
fixed_decay,1,18,0.050657348016467846,8,-187.7003340360578
fixed_decay,1,19,0.051764397249281474,7,-177.0865518361103
fixed_decay,1,20,0.05052563763161322,6,-206.91888415236232
fixed_decay,1,21,0.05069181315610241,6,-113.06086312916536
fixed_decay,1,22,0.05104771165079508,6,-161.77497531701846
fixed_decay,1,23,0.05030306408317309,6,-220.39030297730824
fixed_decay,1,24,0.05185620104552211,6,-178.54032223460024
fixed_decay,1,25,0.05181669339468947,8,-192.91837006964937
fixed_decay,1,26,0.05055976500811073,8,-180.104402559195
fixed_decay,1,27,0.05110572682621437,7,-181.2926023315994
fixed_decay,1,28,0.05221893469864798,7,-166.134066818027
fixed_decay,1,29,0.05125129231716498,6,-229.67471809711205
fixed_decay,1,30,0.051060345474558434,6,-169.25281909170687
fixed_decay,1,31,0.05047830695923187,7,-211.10550242368998
fixed_decay,1,32,0.051388417158738924,6,-218.2850525513906
fixed_decay,1,33,0.05121042446167906,6,-133.24376971957417
fixed_decay,1,36,0.051449954101956144,6,-150.65681899640177
fixed_decay,1,37,0.050323178762278965,6,-168.98970291352347
fixed_decay,1,38,0.05080140330651445,7,-172.68574937757515
fixed_decay,1,39,0.050584175658379464,7,-106.08520632167968
fixed_decay,1,41,0.05166511773861432,7,-162.34301779014643
fixed_decay,1,42,0.05173631560400839,6,-146.99937906318897
fixed_decay,1,43,0.0521729319510591,7,-153.09981575251382
fixed_decay,1,44,0.051395631293017656,7,-146.41420237270282
fixed_window,1,6,0.05208119089530116,7,-179.74600136969036
fixed_window,1,7,0.05084634633436985,7,-153.39272612677357
fixed_window,1,8,0.05176909459205392,7,-181.7379963564267
fixed_window,1,9,0.05147752862287045,8,-181.92582180462375
fixed_window,1,10,0.050962508575985214,6,-168.89685149270485
fixed_window,1,11,0.05100922461392407,6,-205.75894303014812
fixed_window,1,13,0.0524554695652577,6,-138.1718653271613
fixed_window,1,14,0.0522115471345233,6,-190.00098080545428
