model,order,subject,p_c,BIC
hmm,1,6,0.01929366427443968,-185.0493704205155
hmm,1,7,0.09826223809740664,-157.49675367586477
hmm,1,8,0.006614554363441057,-192.2167776179331
hmm,1,9,0.09972385063861555,-188.11208438777857
hmm,1,10,0.09484048538579998,-173.2108158270666
hmm,1,11,0.05622014322564364,-217.56318685382098
hmm,1,13,0.009072880605654485,-146.03852200268338
hmm,1,14,0.0784247405304411,-194.13261649710032
hmm,1,15,0.09923269854138765,-166.15385846066056
hmm,1,16,0.05176413153409979,-189.36265687586578
hmm,1,17,0.00028777370573277675,-190.77313676343346
hmm,1,18,0.09925235908115028,-193.04818017056968
hmm,1,19,0.005234511013941318,-184.22826669362863
hmm,1,20,0.05017953273835382,-211.05782780990086
hmm,1,21,0.0858625704908654,-116.8892543660964
hmm,1,22,0.0836652062367727,-167.1801986609963
hmm,1,23,0.06130574125502036,-223.83471854810878
hmm,1,24,0.07658410102440126,-182.34890383308672
hmm,1,25,0.09893395855028042,-198.7951797795348
hmm,1,26,0.008028504069146146,-186.17504248417777
hmm,1,27,1.3328604347043084e-05,-190.4467176193053
hmm,1,28,0.09606011092393686,-171.25217185663809
hmm,1,29,0.09854002661219396,-233.71974147142387
hmm,1,30,0.03122684146992688,-176.402115314843
hmm,1,31,0.00010596437131821981,-219.22370177086273
hmm,1,32,0.05014410976140964,-222.3730247318218
hmm,1,33,0.09775746771095474,-137.33257848587692
hmm,1,36,0.028585744613819276,-155.1322742546547
hmm,1,37,0.05024662993904553,-173.16781642154982
hmm,1,38,0.024192119839585823,-176.190349086863
hmm,1,39,0.010024053896078022,-110.32334764287813
hmm,1,41,0.008374879133676459,-166.65333315639634
hmm,1,42,0.06541948883694675,-151.21170213299916
hmm,1,43,0.09895174994808864,-158.0841887217624
hmm,1,44,0.09929627697859394,-151.4649739027707
hmm_uncoupled,1,6,0.09838509671105071,-185.15335670316722
hmm_uncoupled,1,7,0.05018572683636936,-157.47455826183565
hmm_uncoupled,1,8,0.04215452043463965,-191.36934531696718
hmm_uncoupled,1,9,0.09958658978996118,-187.88648113443477
hmm_uncoupled,1,10,0.06748774467778702,-173.43694313035633
hmm_uncoupled,1,11,0.04235723129167043,-217.90489111080367
hmm_uncoupled,1,13,0.0010753497743805924,-145.5446451673498
hmm_uncoupled,1,14,0.05020139623858786,-194.13120138376144
hmm_uncoupled,1,15,0.0992971469848727,-166.22051964816112
hmm_uncoupled,1,16,0.050556211752060376,-189.0527684612686
hmm_uncoupled,1,17,0.0005040501373397713,-191.76170950112754
hmm_uncoupled,1,18,0.09896023024585282,-193.14879243439393
hmm_uncoupled,1,19,0.004436006651680701,-183.68117132639668
hmm_uncoupled,1,20,0.05010277147883514,-211.05222446652823
hmm_uncoupled,1,21,0.09517415761222316,-116.7349841972183
hmm_uncoupled,1,22,0.0741781106305325,-166.88493767786116
hmm_uncoupled,1,23,0.050750038534710454,-224.2639825580019
hmm_uncoupled,1,24,0.05604157367066385,-182.51870107467795
hmm_uncoupled,1,25,0.09532829075870441,-198.62339115502922
hmm_uncoupled,1,26,0.009445574744518109,-185.4877634749781
hmm_uncoupled,1,27,3.079654409680246e-06,-189.31664101692033
hmm_uncoupled,1,28,0.08690521665206563,-171.2710828182482
hmm_uncoupled,1,29,0.0973182333795684,-234.31372526990413
hmm_uncoupled,1,30,0.030189340692524037,-175.70018063287827
hmm_uncoupled,1,31,0.00019039129337894336,-218.45590389367192
hmm_uncoupled,1,32,0.0875871779863194,-222.5139847270608
hmm_uncoupled,1,33,0.0980341274959858,-137.37841684345702
hmm_uncoupled,1,36,0.02960127509902535,-154.715225310561
hmm_uncoupled,1,37,0.01597240279922893,-173.31733802875647
hmm_uncoupled,1,38,0.016382657322036927,-176.19839196266966
hmm_uncoupled,1,39,0.021717744493717397,-110.04549199284295
hmm_uncoupled,1,41,1.1612088706666975e-07,-167.71937581163684
hmm_uncoupled,1,42,0.05166472800863125,-151.23491921154823
hmm_uncoupled,1,43,0.09905912858354161,-158.09168308492653
hmm_uncoupled,1,44,0.0989454020374061,-151.8371994527782
hmm,0,6,0.0332082644716497,-187.1637170803559
hmm,0,7,0.05006497359187524,-157.47991265223789
hmm,0,8,0.005057460422608182,-189.0277173097165
hmm,0,9,0.09979378306441644,-181.51409124639093
hmm,0,10,0.01907390094321488,-175.590693429562
hmm,0,11,0.09955952146046887,-212.48546472656108
hmm,0,13,0.004794563568906166,-153.91356981809093
hmm,0,14,0.03291755957638405,-199.03245557107968
hmm,0,15,0.0990233568423272,-165.47882353004263
hmm,0,16,0.05005884400915733,-189.2876556786899
hmm,0,17,0.0005947040805564265,-200.2471937051953
hmm,0,18,0.09831353228078143,-191.23973941518966
hmm,0,19,0.008982041981939873,-180.88819538118443
hmm,0,20,0.050142192737993946,-211.05322141304987
hmm,0,21,0.0992023889640813,-117.28503060842623
hmm,0,22,0.09949325564762862,-166.66085761849908
hmm,0,23,0.000558684799804621,-223.4396588179662
hmm,0,24,0.0429770816594836,-183.490620229374
hmm,0,25,0.09863073877924478,-195.53603399994907
