model,subject,p_c,BIC,p_c0,p_c1
wsls,6,0.17840081994481982,-187.38500004849988,,
wsls,7,0.5431169043559776,-157.93962897462066,,
wsls,8,0.6232735948146885,-182.68768211363655,,
wsls,9,0.34261522242409304,-180.49690126608698,,
wsls,10,0.9311769106300767,-173.01938704455054,,
wsls,11,0.8294234522625958,-200.2707666080457,,
wsls,13,0.6006323989518765,-142.66115489541292,,
wsls,14,0.6019186468172861,-195.96199108169594,,
wsls,15,0.13301324734069908,-165.12796001176434,,
wsls,16,0.8646080010699755,-188.104677842363,,
wsls,17,0.17345083484645318,-187.9243386752148,,
wsls,18,0.6422883391679511,-197.25701386891862,,
wsls,19,0.3645211271695533,-179.74457902048522,,
wsls,20,0.8181219782529272,-211.99162778848518,,
wsls,21,0.5285367892117555,-115.57918659204775,,
wsls,22,0.7938788230455603,-159.89396738243823,,
wsls,23,0.9402660042310472,-218.98270210654047,,
wsls,24,0.03239769725472952,-182.31238396544683,,
wsls,25,0.042908910219069285,-196.4355453864733,,
wsls,26,0.6162841096450304,-183.99644108939157,,
wsls,27,0.8228326389180761,-183.2282920722395,,
wsls,28,0.3886012862053879,-166.20840383499046,,
wsls,29,0.23159399966428473,-230.70844255683159,,
wsls,30,0.22104164609376697,-150.0480528322455,,
wsls,31,0.18557916517317385,-213.99630454011384,,
wsls,32,0.15272236166612319,-222.84522835584036,,
wsls,33,0.6264297957421039,-140.58012907146625,,
wsls,36,0.11375039897893635,-153.92484272205226,,
wsls,37,0.36109978646869534,-173.20590743200955,,
wsls,38,0.3139430851036892,-164.88090102451156,,
wsls,39,0.36003288159032243,-109.33286936382791,,
wsls,41,0.30419128570969867,-166.37764574816592,,
wsls,42,0.7181705667358217,-150.97165893563755,,
wsls,43,0.41187682611775345,-163.17820876062126,,
wsls,44,0.2773724825903805,-147.25520980872727,,
random,6,0.949928935661609,-184.90434699215945,,
random,7,0.48244949946906,-157.7871677339542,,
random,8,0.466548492318683,-172.7964725047981,,
random,9,0.3171824645897182,-171.29982324600041,,
random,10,0.33025661010964547,-173.13093833327434,,
random,11,0.6350563095938544,-187.9008556521326,,
random,13,0.511147491224125,-143.27112814358404,,
random,14,0.5176439766237461,-195.62628317465695,,
random,15,0.8194329286842502,-165.10793503380384,,
random,16,0.2882844089682629,-188.1382075469852,,
random,17,0.004799193189918283,-187.73648613933975,,
random,18,0.3848738883978303,-194.35630302223817,,
random,19,0.5170875254475484,-180.01106395843135,,
random,20,0.022377577605886656,-211.61864603550123,,
random,21,0.6104045666051983,-113.13763567512326,,
random,22,0.6515195331343351,-156.40653237767393,,
