,rank,waic,p_waic,d_waic,weight,se,dse,warning,waic_scale,names
<pymc3.model.Model object at 0x7f02c0abe860>,0,47.13946529293841,26.320711352162295,0.0,0.6493988722346447,27.36448398066717,0.0,False,log,"{'name': 'fixed_decay', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 5}"
<pymc3.model.Model object at 0x7f02c111d198>,1,43.22765240638295,27.752424883370583,3.9118128865554533,0.09402593926106781,27.57253491173139,2.9620511651923382,False,log,"{'name': 'fixed_window', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 10}"
<pymc3.model.Model object at 0x7f02c6f8c898>,2,41.14218318913406,35.34778185239009,5.997282103804351,0.12854578645274858,27.445698198497105,6.048218531937079,False,log,"{'name': 'fixed_window', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 10}"
<pymc3.model.Model object at 0x7f02c21a2550>,3,40.598533094649,26.412892115651502,6.540932198289412,0.04418916418880287,27.676050595629725,4.532905538943298,False,log,"{'name': 'hmm', 'order': 0, 'p_c': 0.005, 'resol': 20}"
<pymc3.model.Model object at 0x7f02c3856d68>,4,40.394418871854185,26.602621909155754,6.745046421084225,0.03725727076496016,27.637243627712877,4.52974985971269,False,log,"{'name': 'hmm_uncoupled', 'order': 0, 'p_c': 0.005, 'resol': 20}"
<pymc3.model.Model object at 0x7f02bf76be10>,5,39.96505568044633,26.527725798067557,7.174409612492072,0.0032274579050448724,27.33519771766118,2.6033659691625504,False,log,"{'name': 'fixed_decay', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 10}"
<pymc3.model.Model object at 0x7f02be33f048>,6,39.066933791466596,29.952893882788462,8.072531501471811,0.0279239568710206,27.08763394260311,5.812104284882622,False,log,"{'name': 'fixed_decay', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 5}"
<pymc3.model.Model object at 0x7f02c159bcc0>,7,36.701547036630174,25.198622649930634,10.437918256308244,0.003442722958977571,27.623064174976964,4.516795477619067,False,log,"{'name': 'fixed_window', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 20}"
<pymc3.model.Model object at 0x7f02c17484a8>,8,36.492996104600586,27.846119586441795,10.646469188337829,0.003380951632431329,27.788952685683114,3.7313989385115462,False,log,"{'name': 'fixed_window', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 5}"
<pymc3.model.Model object at 0x7f02be89f908>,9,35.07955850113583,29.42708517353276,12.059906791802572,0.0008311215141037932,26.780157671859794,5.725419842264709,False,log,"{'name': 'fixed_decay', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 10}"
<pymc3.model.Model object at 0x7f02c0e825c0>,10,33.98940951611414,31.765106144373835,13.150055776824265,0.006756818379859989,27.500708728616708,6.576156327639788,False,log,"{'name': 'fixed_window', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 5}"
<pymc3.model.Model object at 0x7f02bf7d0fd0>,11,32.93511852557004,31.994052730797087,14.204346767368367,0.0010094163084073933,27.45318284198689,6.090514215398971,False,log,"{'name': 'fixed_window', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 20}"
<pymc3.model.Model object at 0x7f02c25e2cf8>,12,27.96062955797171,25.885620956247745,19.178835734966697,2.3917648754147267e-06,26.73183125200904,4.805901212907611,False,log,"{'name': 'fixed_decay', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 20}"
<pymc3.model.Model object at 0x7f02c1068f60>,13,27.38390816647778,28.35069031941164,19.755557126460626,4.75795312534856e-06,27.85893555201213,6.118798765032684,False,log,"{'name': 'hmm_uncoupled', 'order': 1, 'p_c': 0.005, 'resol': 20}"
<pymc3.model.Model object at 0x7f02cec36e10>,14,26.750455314674404,28.337819670458423,20.389009978264,1.968848547254027e-06,27.687897724530966,6.147785562565166,False,log,"{'name': 'hmm', 'order': 1, 'p_c': 0.005, 'resol': 20}"
<pymc3.model.Model object at 0x7f02c1a42828>,15,26.223098286338498,26.741490252005384,20.916367006599913,1.379380814348824e-06,26.976422708991382,6.123551648146706,False,log,"{'name': 'fixed_decay', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 20}"
<pymc3.model.Model object at 0x7f02c0a8df60>,16,16.080526539431016,19.01873166465318,31.058938753507384,1.7073368657423545e-08,27.437022301250938,7.362625859673209,False,log,"{'name': 'fixed_window', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 50}"
<pymc3.model.Model object at 0x7f02bff0f2e8>,17,15.452141534621092,24.652076201743622,31.687323758317312,2.0194405398009267e-09,26.962192397765776,6.794507800513618,False,log,"{'name': 'fixed_decay', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 50}"
<pymc3.model.Model object at 0x7f02c00fe8d0>,18,14.74761122434348,24.752704136955828,32.39185406859494,1.0607769696065853e-09,27.495099500016096,6.933358598042495,False,log,"{'name': 'fixed_window', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 50}"
<pymc3.model.Model object at 0x7f02bca3a080>,19,14.717641934042462,24.475031903738973,32.42182335889596,2.130158480877133e-09,26.781439921023097,7.1408334462956615,False,log,"{'name': 'fixed_decay', 'order': 1, 'p_c': 0.005, 'resol': 20, 'size': 50}"
<pymc3.model.Model object at 0x7f02c1f1bf98>,20,10.0433120077427,24.23057484974909,37.096153285195705,7.573373593657132e-10,27.16988121815918,7.812004102610681,False,log,"{'name': 'fixed_window', 'order': 0, 'p_c': 0.005, 'resol': 20, 'size': 100}"
