model,subject,p_c,BIC,p_c0,p_c1
wsls,6,0.7966127723266159,-187.38500004849988,,
wsls,7,0.7279892212820809,-157.93962897462066,,
wsls,8,0.48688437468509416,-182.68768211363655,,
wsls,9,0.45110261807484897,-180.49690126608698,,
wsls,10,0.8726370760222834,-173.01938704455054,,
wsls,11,0.5089022858063161,-200.2707666080457,,
wsls,13,0.1339625743843642,-142.66115489541292,,
wsls,14,0.5818859245127602,-195.96199108169594,,
wsls,15,0.8372157378220866,-165.12796001176434,,
wsls,16,0.02425673582648602,-188.104677842363,,
wsls,17,0.7506656132845837,-187.9243386752148,,
wsls,18,0.006333352223162558,-197.25701386891862,,
wsls,19,0.6834150454674959,-179.74457902048522,,
wsls,20,0.7629599972506607,-211.99162778848515,,
wsls,21,0.23278122614893426,-115.57918659204775,,
wsls,22,0.18747891987248577,-159.89396738243826,,
wsls,23,0.7714769799150931,-218.98270210654047,,
wsls,24,0.29042848347399985,-182.31238396544683,,
wsls,25,0.9223422795403294,-196.4355453864733,,
wsls,26,0.5676335216940918,-183.9964410893916,,
wsls,27,0.16394743055217587,-183.2282920722395,,
wsls,28,0.7526561559516387,-166.20840383499046,,
wsls,29,0.22316374661095661,-230.7084425568316,,
wsls,30,0.38419859318135274,-150.0480528322455,,
wsls,31,0.40886206549424076,-213.9963045401138,,
wsls,32,0.4496351583694653,-222.84522835584033,,
wsls,33,0.10065243698243265,-140.58012907146627,,
wsls,36,0.7690391652933488,-153.92484272205226,,
wsls,37,0.8449307363730212,-173.20590743200958,,
wsls,38,0.37322631914524795,-164.88090102451156,,
wsls,39,0.8758002256812096,-109.33286936382791,,
wsls,41,0.7881945366087819,-166.37764574816592,,
wsls,42,0.44555184876413345,-150.97165893563755,,
wsls,43,0.9601254726238054,-163.17820876062126,,
wsls,44,0.2972167537835336,-147.25520980872727,,
random,6,0.26112493649622437,-184.90434699215945,,
random,7,0.3179617516994723,-157.7871677339542,,
random,8,0.09666023329138274,-172.79647250479812,,
random,9,0.5760045103655107,-171.29982324600044,,
random,10,0.17279923390892105,-173.13093833327434,,
random,11,0.8282042315929418,-187.9008556521326,,
random,13,0.8542133376909334,-143.27112814358404,,
